ID,Type,Age,Sex,PCA_Type,Type/Breed/Species,MC_GL,MC_Bd,MC_DD,MC_Bp,MC_SD,MC_Batf,MC_a,MC_b,MC_c,MC_d,MC_e,MC_f,MC_1,MC_2,MC_3,MC_4,MC_5,MC_6,MC_7,MC_8,MC_9,MC_10,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
532(316),Non-draught,4,Female,Non-draught cattle,Guernsey crossbreed,181,51.11,21.34,54.66,31.07,47.39,24.26,22.85,24.12,22.52,15.88,14.84,23.36,30.86,27.43,21.67,29.51,27.66,24.36,27.83,21.03,27.75,0.679794521,0.68481772,0.786130914,0.774313792,0.884433102,0.826102675,0.271548931,0.871721164,0.823423423,0.866690622,0.811531532,1.455951265,0.990147783,1.070851165,0.305504922,0.344006568,0.781594297,0.763131142,1.038527397,1.054453161,0.99589491,1.086543034,0.30198895,0.261823204,0.282375691
555(390),Non-draught,18.3,Female,Non-draught cattle,Kerry crossbreed,182,54.89,20.89,56.36,33.55,49.35,26.65,24.76,26.28,23.66,16.55,14.34,22.94,29.02,25.93,19.88,27.58,26.08,23.63,25.98,20.95,25.68,0.721447254,0.721327968,0.918332185,0.897751994,1.027767065,0.949386503,0.348035837,1.025789069,0.964174455,1.011547344,0.921339564,1.606031594,1.112145578,1.129355609,0.38951022,0.427422768,0.905582357,0.85786802,1.161726242,1.245472837,1.127803639,1.181861575,0.30967033,0.271153846,0.301593407
579(338),Non-draught,3.6,Male,Non-draught cattle,Shorthorn crossbreed,212,70.19,26.73,76.52,42.34,62.67,34.68,30.33,33.58,31.04,22.27,18.61,32.33,39.64,35.16,28.27,37.35,34.77,32.89,36.49,29.11,35.67,0.6888339,0.658295012,0.874873865,0.812048193,0.986348123,0.87230371,0.313067608,0.950397369,0.850294365,0.920252124,0.870199047,1.583988028,1.020979021,1.06630024,0.352957907,0.377318334,0.847124117,0.831057564,1.072687906,1.072868765,1.054423837,1.041909997,0.360943396,0.295613208,0.331084906
110,Non-draught,,Male,Non-draught cattle,Yak (Bos grunniens),199,71.76,26.66,84.44,50.55,61.57,36.36,32.55,34.45,31.43,24.02,20.76,27.66,36.05,30.79,26.43,36.68,33.67,28.51,33.07,28.49,33.47,0.868402025,0.785471056,1.008599168,0.88740458,1.180902891,0.966735967,0.342302358,1.099485939,0.972512698,1.041729664,0.939049895,1.896099025,1.208347948,1.103194103,0.400779474,0.432830586,0.955617198,0.856870229,1.314533623,1.231555051,1.275341985,1.142506143,0.424321608,0.309396985,0.360603015
590(424),Non-draught,10,Male,Non-draught cattle,Shorthorn crossbreed,219,68.82,31.17,78.22,48.64,63.28,33.55,32.17,33.12,31.93,22.17,18.43,32.69,41.63,36.14,29.28,39.71,36.54,33.92,36.51,29.28,36.95,0.678189049,0.629439891,0.8059092,0.810123395,0.928334256,0.880405036,0.273360557,0.918926322,0.870635995,0.907148726,0.864140731,1.560474816,0.976415094,1.090505464,0.314886552,0.335495283,0.79558011,0.804079577,1.026307739,1.098702186,0.989091981,1.098702186,0.35716895,0.288949772,0.314246575
576(320),Non-draught,4.7,Male,Non-draught cattle,Shorthorn crossbreed,225,76.21,30.64,79.73,46.12,62.66,37.05,34.27,35.86,34.36,24.93,21.82,35.19,44.53,37.96,32.33,44.28,39.37,36.52,39.54,31.49,39.72,0.708439898,0.67491494,0.832023355,0.773938573,0.976027397,0.870459741,0.272176061,0.937025797,0.862789527,0.906929691,0.865055388,1.505221932,0.981927711,1.091140044,0.319283456,0.331872946,0.805299798,0.775971093,1.052855925,1.060006186,1.014512596,1.088281994,0.354355556,0.278488889,0.338711111
540(571),Non-draught,4.3,Female,Non-draught cattle,Holländer crossbreed,211,59.37,25.72,64.08,42.24,56.19,28.32,27.37,28.07,27.15,17.71,16.74,26.45,34.22,31.19,24.56,33.31,32.05,27.18,32.13,25.24,32.55,0.669565217,0.681596091,0.827586207,0.821675173,0.907983328,0.853978159,0.310052601,0.881419234,0.840860215,0.873638344,0.834101382,1.642301711,1.032744665,1.075673534,0.340173132,0.390360559,0.820280538,0.815070549,1.070699433,1.114413681,1.041942605,1.084389857,0.303696682,0.266303318,0.281374408
547(734),Non-draught,6.8,Male,Non-draught cattle,Holländer crossbreed,220,69.62,29.02,76.52,45.21,65.31,34.63,31.66,33.82,32.51,21.96,19.89,33.32,42.97,37.15,30.65,42.22,37.88,34.59,37.37,31.49,38.11,0.659063625,0.648939641,0.805911101,0.749881573,0.932166891,0.835797254,0.294856877,0.926679154,0.830753083,0.905004014,0.85305694,1.55789111,0.977739231,1.032391235,0.341049798,0.366290836,0.78706074,0.770014211,1.039315726,1.032952692,1.001156404,1.005398539,0.347818182,0.296863636,0.316454545
592(432),Non-draught,10.3,Female,Non-draught cattle,Shorthorn crossbreed,220,65.16,27.43,68.88,41.43,56.24,31.54,29.84,30.68,29.03,19.23,17.47,29.56,40.21,34.66,27.98,39.24,35.09,33.05,34.82,28.22,35.78,0.650541272,0.624374553,0.784381995,0.760448522,0.909982689,0.850384725,0.306142751,0.905801264,0.833985467,0.881102814,0.811347121,1.510390084,0.928290469,1.028703047,0.355164455,0.372465961,0.76299428,0.73980632,1.066982409,1.066476054,0.954311649,1.057406095,0.313090909,0.255636364,0.296181818
619(598),Non-draught,5.2,Male,Non-draught cattle,Shorthorn crossbreed,221,70.26,29.68,74.11,43.83,62.66,34.69,31.66,33.41,30.96,22.19,18.48,33.08,41.94,35.79,29.71,40.74,36.44,35.48,36.14,29.52,37.42,0.670798065,0.62201279,0.827134001,0.77712322,0.969265158,0.868825467,0.298044826,0.959878251,0.846071619,0.924460432,0.827365045,1.476752022,0.941657272,1.048780488,0.34925957,0.352311161,0.796614211,0.75994109,1.048669891,1.065634467,0.977733935,1.072493225,0.335339367,0.283529412,0.317918552
