ID,Type,Age,Sex,Type/Breed/Species,Side,PH1_Anterior_GLpe,PH1_Anterior_Bp,PH1_Anterior_Dp,PH1_Anterior_Bd,PH1_Bp_Dp,PH1_Bd_Glpe
195(481),Non-draught,4.8,Male,Devon crossbreed,P,61.11,31.22,34.07,28.32,0.916348694,0.463426608
194,Non-draught,7.2,Female,Devon crossbreed,P,62.45,28.72,31.72,22.89,0.905422446,0.366533227
415(557),Non-draught,12.2,Male,Kerry crossbreed,P,59.34,28.09,32.25,25.36,0.871007752,0.427367711
657(546),Non-draught,9.5,Castrated Male,Holländer crossbreed,P,68.56,36.93,40.73,28.94,0.906702676,0.422112019
564(158),Non-draught,11.5,Female,Shorthorn crossbreed,P,71.19,33.83,36.82,28.67,0.918794134,0.402725102
569(209),Non-draught,11.1,Male,Shorthorn crossbreed,P,69.28,36.61,39.21,29.16,0.933690385,0.420900693
556(395),Non-draught,8,Female,Kerry crossbreed,P,66.06,31.51,34.31,27.39,0.91839114,0.41462307
532(316),Non-draught,4,Female,Guernsey crossbreed,P,58.02,26.25,30.24,23.81,0.868055556,0.410375733
555(390),Non-draught,18.3,Female,Kerry crossbreed,P,57.77,27.33,31.45,25.33,0.86899841,0.43846287
579(338),Non-draught,3.6,Male,Shorthorn crossbreed,P,70.05,34.04,38.49,28.79,0.884385555,0.410992148
590(424),Non-draught,10,Male,Shorthorn crossbreed,P,68.46,36.94,38.24,29.71,0.966004184,0.433976044
576(320),Non-draught,4.7,Male,Shorthorn crossbreed,P,71.49,38.23,40.24,30.45,0.950049702,0.425933697
540(571),Non-draught,4.3,Female,Holländer crossbreed,P,66.22,31.73,32.83,23.94,0.96649406,0.361522199
547(734),Non-draught,6.8,Male,Holländer crossbreed,P,70.14,34.97,40.81,32.52,0.856897819,0.46364414
327(259),Non-draught,,Male,Shorthorn crossbreed,P,70.63,44.17,39.35,34.72,1.12249047,0.491575818
592(432),Non-draught,10.3,Female,Shorthorn crossbreed,P,69.67,32.86,37.12,27.94,0.885237069,0.401033443
619(598),Non-draught,5.2,Male,Shorthorn crossbreed,P,66.15,35.26,38.85,30.69,0.907593308,0.463945578
