ID,Type,Age,Sex,Type/Breed/Species,Side,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Bp_GLpe,PH2_Bd_GLpe
657(546),Non-draught,9.5,Castrated Male,Holländer crossbreed,A,54.09,38.11,39.46,29.79,0.704566463,0.550748752
586(417),Non-draught,1.9,Male,Shorthorn crossbreed,A,46.37,33.99,38.69,27.63,0.733017037,0.595859392
581(344),Non-draught,12.3,Female,Shorthorn crossbreed,A,45.54,31.28,37.03,24.07,0.686868687,0.528546333
569(209),Non-draught,11.1,Male,Shorthorn crossbreed,A,52.09,39.12,41.71,33.66,0.751007871,0.646189288
556(395),Non-draught,8,Female,Kerry crossbreed,A,45.32,31.67,33.82,25.62,0.698808473,0.565313327
532(316),Non-draught,4,Female,Guernsey crossbreed,A,37.84,26.53,30.88,20.26,0.701109937,0.535412262
555(390),Non-draught,18.3,Female,Kerry crossbreed,A,39.66,29.01,32.23,20.44,0.731467474,0.515380736
579(338),Non-draught,3.6,Male,Shorthorn crossbreed,A,49.53,36.54,38.58,30.66,0.737734706,0.619018776
590(424),Non-draught,10,Male,Shorthorn crossbreed,A,49.48,38.63,42.74,30.57,0.780719483,0.617825384
576(320),Non-draught,4.7,Male,Shorthorn crossbreed,A,51.83,39.09,43.26,31.37,0.754196411,0.605247926
540(571),Non-draught,4.3,Female,Holländer crossbreed,A,45.68,31.41,33.71,23.97,0.687609457,0.524737303
547(734),Non-draught,6.8,Male,Holländer crossbreed,A,48.31,38.08,41.64,25.31,0.7882426,0.523908094
327(259),Non-draught,,Male,Shorthorn crossbreed,A,53.97,43.16,41.94,33.32,0.799703539,0.617380026
592(432),Non-draught,10.3,Female,Shorthorn crossbreed,A,49.53,33.14,38.45,26.53,0.669089441,0.535634969
619(598),Non-draught,5.2,Male,Shorthorn crossbreed,A,48.97,34.43,39.36,27.55,0.703083521,0.56258934
537(516),Non-draught,16.7,Female,Holländer  crossbreed,A,42.47,29.22,33.64,22.57,0.688015069,0.531433953
566(201),Non-draught,6.9,Male,Shorthorn crossbreed,A,52.93,39.41,44.54,30.87,0.744568298,0.583223125
565(161),Non-draught,7,Male,Shorthorn crossbreed,A,44.61,34.43,38.86,26.17,0.771800045,0.586639767
580(339),Non-draught,4.6,Female,Shorthorn crossbreed,A,45.15,33.04,37.94,24.69,0.731782946,0.546843854
572(229),Non-draught,3.6,Male,Shorthorn crossbreed,A,51.51,36.69,42.23,30.02,0.712288876,0.582799456
R671,Non-draught,3.5,Female,Chillingham,A,38.08,24.39,29.29,22.17,0.640493697,0.582195378
R673,Non-draught,3.5,Female,Chillingham,A,36.36,25.73,28.96,23.32,0.707645765,0.641364136
R672,Non-draught,3.5,Female,Chillingham,A,36.04,27.09,28.42,21.03,0.751664817,0.583518313
R625,Non-draught,,Male,Chillingham,A,38.39,29.52,32.24,25.15,0.768950247,0.65511852
R760,Non-draught,,Male,Chillingham,A,40.73,30.22,33.07,27.21,0.741959244,0.668057943
1953.4.22.6,Non-draught,9.6,Male,Chillingham,A,37.27,28.37,30.23,23.55,0.761202039,0.631875503
1953.4.22.5,Non-draught,8.1,Male,Chillingham,A,38.79,27.06,30.34,23.78,0.697602475,0.613044599
1953.4.22.4,Non-draught,1.5,Female,Chillingham,A,35.46,26.07,27.03,21.82,0.735194585,0.61534123
1953.4.22.9b,Non-draught,,Unknown,Chillingham,A,34.31,25.57,27.21,21.19,0.745263771,0.617604197
1953.4.22.1,Non-draught,,Unknown,Chillingham,A,34.46,23.26,26.62,19.02,0.67498549,0.551944283
1953.4.22.2,Non-draught,,Unknown,Chillingham,A,34.56,25.57,27.38,20.41,0.739872685,0.59056713
1981.984,Non-draught,14,Female,Chillingham,A,36.99,27.18,28.57,23.37,0.734793187,0.631792376
1981.989,Non-draught,10,Female,Chillingham,A,38.83,27.81,30.47,22.39,0.716198815,0.576616019
1981.986,Non-draught,14,Female,Chillingham,A,36.43,27.22,28.47,23.11,0.747186385,0.63436728
1981.985,Non-draught,5,Female,Chillingham,A,37.33,26.16,29.54,21.39,0.700776855,0.572997589
1924.4.28.1,Non-draught,12.35,Male,Chartley,A,49.23,36.16,42.88,30.56,0.734511477,0.620759699
1980.2665,Non-draught,10.47,Male,Chartley,A,43.63,33.51,38.57,26.15,0.768049507,0.59935824
1975.303,Non-draught,,Male,Chartley,A,46.66,38.96,40.92,33.45,0.834976425,0.716888127
2002.118,Non-draught,,Female,Charolais,A,42.89,34.28,34.59,25.94,0.799253905,0.604802984
2002.117,Non-draught,3.75,Castrated Male,Jersey,A,44.61,32.67,36.95,24.38,0.732347007,0.546514234
91.107.M1,Draught,6,Castrated Male,Romanian Grey & Brown,A,50,40.6,46.9,38.9,0.812,0.778
91.107.M2,Draught,8,Castrated Male,Romanian Grey & Brown,A,48.1,40.4,45.2,37,0.83991684,0.769230769
91.107.M3,Draught,10,Castrated Male,Romanian Grey & Brown,A,50.6,43.2,46.1,43.1,0.853754941,0.851778656
91.107.M4,Draught,14,Castrated Male,Romanian Grey & Brown,A,45.5,38.1,45.1,36.1,0.837362637,0.793406593
91.107.M5,Draught,6,Castrated Male,Romanian Grey & Brown,A,43.2,38.8,39.2,35,0.898148148,0.810185185
91.107.M6,Draught,19,Castrated Male,Romanian Grey & Brown,A,42.2,38.8,42,36.1,0.91943128,0.855450237
91.107.M7,Draught,14,Castrated Male,Romanian Grey & Brown,A,47.5,39.3,49.2,36.2,0.827368421,0.762105263
91.107.M9,Draught,12,Castrated Male,Romanian Grey & Brown,A,41.2,35.9,41.1,35.6,0.871359223,0.86407767
91.107.M10,Draught,9,Castrated Male,Romanian Grey & Brown,A,49,47,48.5,36.2,0.959183673,0.73877551
91.107.M11,Draught,8,Castrated Male,Romanian Grey & Brown,A,49.3,42.4,47.5,38.5,0.860040568,0.780933063
91.107.M12,Draught,9,Castrated Male,Romanian Grey & Brown,A,42.3,37.5,42.8,37.1,0.886524823,0.877068558
