ID,Type,Age,Sex,MT_GL,MT_Bd,MT_DD,MT_Bp,MT_SD,MT_Batf,MT_a,MT_b,MT_c,MT_d,MT_e,MT_f,MT_1,MT_2,MT_3,MT_4,MT_5,MT_6,MT_7,MT_8,MT_9,MT_10,MT_e1,MT_f4,MT_Bd_GL
91.107.M5,Draught,6,Castrated Male,233.20,69.96,31.12,63.39,37.01,66.93,33.42,30.68,32.07,31.55,23.17,19.19,28.47,38.12,33.75,26.91,37.80,34.69,30.24,33.70,27.72,36.13,0.813839129,0.7131178,0.3
91.107.M6,Draught,19,Castrated Male,250.00,69.40,33.20,63.30,32.90,64.87,33.15,32.56,32.75,31.43,22.61,21.32,30.70,41.50,37.43,30.56,41.08,38.36,32.54,38.51,30.48,40.25,0.736482085,0.697643979,0.2776
91.107.M7,Draught,14,Castrated Male,251.00,74.94,38.13,73.51,40.87,74.58,34.31,33.94,34.26,34.45,22.00,20.97,33.42,44.54,39.81,31.05,44.14,40.73,36.29,40.95,32.20,44.41,0.65828845,0.675362319,0.298565737
91.107.M8,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M9,Draught,12,Castrated Male,242.10,75.05,33.15,71.38,37.72,71.10,34.38,36.00,34.52,34.45,22.63,22.59,32.30,43.39,38.95,30.94,42.76,39.85,33.74,39.65,31.86,42.46,0.700619195,0.730122818,0.309995869
91.107.M10,Draught,9,Castrated Male,254.80,71.13,32.39,69.65,40.65,68.30,33.59,32.40,32.41,32.23,23.53,20.03,28.87,39.90,34.58,26.93,39.41,35.48,30.02,34.84,26.64,36.36,0.815032906,0.743780171,0.279160126
91.107.M11,Draught,8,Castrated Male,261.50,77.81,37.40,76.94,44.30,74.22,36.39,35.91,35.21,35.24,24.13,21.40,32.78,42.15,37.89,30.61,42.40,39.56,35.25,37.84,30.96,41.41,0.736119585,0.699117935,0.297552581
91.107.M12,Draught,9,Castrated Male,227.90,69.00,31.33,59.97,34.81,64.58,32.84,30.93,30.68,30.66,22.45,18.45,27.03,35.94,32.29,24.96,34.41,32.30,28.11,32.12,25.36,33.99,0.830558639,0.739182692,0.30276437
91.107.M13,Draught,8,Castrated Male,230.20,64.00,29.65,58.95,31.18,60.23,30.39,29.13,27.71,28.01,19.83,18.04,26.30,35.19,31.51,24.66,,32.44,26.80,31.46,24.99,33.63,0.753992395,0.731549067,0.278019114
91.107.M14,Draught,10,Castrated Male,230.20,62.06,29.52,55.39,30.55,56.55,29.65,28.37,28.74,27.89,21.69,17.81,24.92,34.71,29.81,22.86,33.35,29.90,26.04,29.99,23.20,31.61,0.870385233,0.779090114,0.269591659
91.107.M22,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M23,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M24,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
91.107.M25,Draught,,Castrated Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB57,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB61,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB62,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB66,Non-draught,2,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB68,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB69,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
RGB55,Non-draught,,Male,245.00,69.98,32.50,66.10,38.20,65.36,32.44,32.21,32.37,32.34,20.76,19.40,30.04,41.03,35.25,28.24,40.98,36.85,30.92,35.39,28.63,37.58,0.691078562,0.686968839,0.285632653
RGB59,Non-draught,,Male,233.80,61.27,31.18,60.32,35.13,60.77,28.77,27.74,27.92,27.68,18.54,16.15,26.62,35.58,32.48,25.40,35.38,33.29,27.75,32.53,25.39,34.82,0.69646882,0.635826772,0.262061591
RGB64,Non-draught,,Male,236.10,63.96,28.85,59.15,31.99,65.73,30.90,29.64,30.98,29.77,19.80,18.44,27.03,36.24,32.43,25.63,35.88,33.38,28.20,32.98,25.98,34.71,0.732519423,0.719469372,0.27090216
