Side,PCA_Type,PH2_Bp_GLpe,PH2_Bd_GLpe,PH2_BP_BD,PH2_Dp_Glpe,PH2_Bp_Dp
P,Non-draught cattle,0.702472747,0.529646371,1.326305221,0.806966232,0.870510708
P,Non-draught cattle,0.713450292,0.537733222,1.326773692,0.871901977,0.818268924
P,Non-draught cattle,0.682228916,0.50408778,1.353393086,0.779905336,0.874758621
P,Non-draught cattle,0.679003884,0.493717158,1.375289218,0.789810372,0.859704946
P,Non-draught cattle,0.69666594,0.485726738,1.43427546,0.741773807,0.939189189
P,Non-draught cattle,0.746535119,0.558844257,1.335855401,0.817946911,0.912693854
P,Non-draught cattle,0.68180932,0.503411971,1.354376452,0.767596023,0.888239776
P,Non-draught cattle,0.680380561,0.483157624,1.408195849,0.757778349,0.897862233
P,Non-draught cattle,0.704188482,0.486673013,1.446943765,0.789148025,0.892340169
P,Non-draught cattle,0.723902661,0.515351376,1.404677846,0.795769843,0.909688482
P,Non-draught cattle,0.654910605,0.488366397,1.341023069,0.768062699,0.852678571
P,Non-draught cattle,0.663418291,0.519490255,1.277056277,0.76161919,0.871062992
P,Non-draught cattle,0.664896308,0.503034901,1.321769734,0.753414264,0.88251091
P,Non-draught cattle,0.709822384,0.488979242,1.451641138,0.558741708,1.270394485
P,Non-draught cattle,0.568829892,0.385201573,1.476707084,0.749508358,0.758937357
P,Non-draught cattle,0.712650484,0.499506611,1.426708811,0.777185711,0.916962925
P,Non-draught cattle,0.758289284,0.572561269,1.324381032,0.782796732,0.968692449
P,Non-draught cattle,0.71628468,0.529794934,1.352003643,0.880096502,0.813870614
P,Non-draught cattle,0.669819252,0.505884826,1.32405484,0.726986129,0.921364556
P,Non-draught cattle,0.626514132,0.463436519,1.351887706,0.768057425,0.815712617
P,Non-draught cattle,0.731037489,0.517872711,1.411616162,0.798169137,0.915892955
P,Non-draught cattle,0.697695436,0.478535924,1.457979226,0.771577045,0.904245974
P,Non-draught cattle,0.749800479,0.60075818,1.248090335,0.77434158,0.968307137
P,Non-draught cattle,0.671802773,0.444860225,1.510143493,0.73827867,0.909958259
P,Non-draught cattle,0.663415691,0.510403121,1.299787686,0.758127438,0.875071469
P,Non-draught cattle,0.686119554,0.522998987,1.311894614,0.846605876,0.810435615
P,Non-draught cattle,0.700849118,0.52405835,1.337349398,0.792945787,0.883855025
P,Non-draught cattle,0.673387097,0.477229602,1.411033797,0.740275142,0.909644345
P,Non-draught cattle,0.746429466,0.533199699,1.399906015,0.806314207,0.925730267
P,Non-draught cattle,0.72257567,0.547715442,1.319253784,0.635434741,1.137135922
P,Non-draught cattle,0.77285683,0.610611708,1.265709156,0.767156325,1.007430694
P,Non-draught cattle,0.770573566,0.537406484,1.43387471,0.816916043,0.943271432
P,Non-draught cattle,0.695082721,0.50390625,1.379388965,0.763097426,0.91087022
P,Non-draught cattle,0.656376518,0.489119433,1.34195551,0.712044534,0.921819474
P,Non-draught cattle,0.71576495,0.500906032,1.428940568,0.776857365,0.921359547
P,Non-draught cattle,0.720373994,0.539030224,1.336425978,0.775168515,0.929312763
P,Non-draught cattle,0.782767512,0.607864203,1.287734182,0.847013322,0.924150178
P,Non-draught cattle,0.734216081,0.530416427,1.38422576,0.777010171,0.944924673
P,Non-draught cattle,0.655297378,0.474738862,1.380332286,0.725644852,0.903055229
P,Non-draught cattle,0.719864177,0.523344652,1.375506894,0.852504244,0.844411252
P,Non-draught cattle,0.768757214,0.584070796,1.316205534,0.759330512,1.012414492
P,Non-draught cattle,0.659193747,0.491155903,1.342127303,0.773138626,0.852620378
P,Non-draught cattle,0.69865285,0.558963731,1.249907304,0.805803109,0.867026749
P,Non-draught cattle,0.692537313,0.559357061,1.238095238,0.776349024,0.892043774
P,Non-draught cattle,0.708814473,0.480369515,1.475560897,0.772902232,0.917081673
P,Non-draught cattle,0.782346109,0.557259001,1.403918299,0.818350755,0.956003406
P,Non-draught cattle,0.741018294,0.523914481,1.414387884,0.735728455,1.007189934
P,Non-draught cattle,0.677110357,0.488724805,1.385463454,0.829175813,0.816606498
P,Chillingham,0.695039306,0.543778802,1.278165503,0.767958796,0.905047653
P,Chillingham,0.672413793,0.528564076,1.272151899,0.725424601,0.926924441
P,Chillingham,0.699379887,0.551900782,1.267220322,0.760043138,0.920184463
P,Chillingham,0.686444766,0.545344911,1.258735073,0.763386397,0.899210111
P,Chillingham,0.694902733,0.563654272,1.232852774,0.747352869,0.929818781
P,Chillingham,0.696405482,0.580553401,1.199554566,0.770881821,0.903388125
P,Chillingham,0.681677818,0.539114771,1.264439141,0.762995368,0.893423272
P,Chillingham,0.62506407,0.546386468,1.143996248,0.711430036,0.878602305
P,Chillingham,0.679727891,0.509931973,1.332977588,0.744489796,0.913011696
P,Chillingham,0.712116872,0.554855342,1.283427981,0.820108851,0.868319944
P,Chillingham,0.645550528,0.546003017,1.182320442,0.740824535,0.871394639
P,Chillingham,0.670237784,0.565194669,1.185852982,0.81421479,0.823170732
P,Chillingham,0.627620222,0.497163995,1.262400794,0.738594328,0.849749583
P,Chillingham,0.6735548,0.552707298,1.218646474,0.73057808,0.921947726
P,Chillingham,0.669345898,0.557649667,1.200298211,0.813470067,0.822827939
P,Chartley,0.748826291,0.599231754,1.249643875,0.868971404,0.861738703
P,Chartley,0.709468513,0.525904422,1.349044586,0.798794105,0.888174448
P,Chartley,0.730997746,0.581643106,1.256780557,0.826469986,0.884481904
P,Non-draught cattle,0.650302768,0.563148789,1.154761905,0.780276817,0.833425721
P,Non-draught cattle,0.672105144,0.532970768,1.261054422,0.740765919,0.907311104
P,Romanian Grey & Brown (draught),0.765656566,0.626262626,1.222580645,0.907070707,0.844097996
P,Romanian Grey & Brown (draught),0.825053996,0.652267819,1.264900662,0.887688985,0.929440389
P,Romanian Grey & Brown (draught),0.816414687,0.708423326,1.152439024,0.896328294,0.910843373
P,Romanian Grey & Brown (draught),0.789256198,0.642561983,1.22829582,0.925619835,0.852678571
P,Romanian Grey & Brown (draught),0.843537415,0.689342404,1.223684211,0.929705215,0.907317073
P,Romanian Grey & Brown (draught),0.767391304,0.608695652,1.260714286,0.841304348,0.912144703
P,Romanian Grey & Brown (draught),0.831950207,0.778008299,1.069333333,0.908713693,0.915525114
P,Romanian Grey & Brown (draught),0.800498753,0.675810474,1.184501845,0.87032419,0.919770774
P,Romanian Grey & Brown (draught),0.817226891,0.707983193,1.154302671,0.949579832,0.860619469
P,Romanian Grey & Brown (draught),0.846938776,0.62244898,1.360655738,0.897959184,0.943181818
P,Romanian Grey & Brown (draught),0.809430255,0.654223969,1.237237237,0.884086444,0.915555556
P,Romanian Grey & Brown (draught),0.901808786,0.829457364,1.087227414,0.976744186,0.923280423
P,Romanian Grey & Brown (draught),0.869897959,0.714285714,1.217857143,1.020408163,0.8525
P,Romanian Grey & Brown (draught),0.783018868,0.639150943,1.225092251,0.877358491,0.892473118
P,Romanian Grey & Brown (draught),0.866213152,0.659863946,1.312714777,0.875283447,0.989637306
P,Romanian Grey & Brown (draught),0.808917197,0.808917197,1,0.959660297,0.842920354
P,Romanian Grey & Brown (non-draught),0.770114943,0.650574713,1.183745583,0.910344828,0.845959596
P,Romanian Grey & Brown (non-draught),0.793017456,0.665835411,1.191011236,0.860349127,0.92173913
P,Romanian Grey & Brown (non-draught),0.773493976,0.665060241,1.163043478,0.824096386,0.938596491
