PCA_Type,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
Non-draught cattle,0.687706271,0.659070599,0.817632081,0.802363756,0.911639461,0.86851457,0.287078294,0.907132768,0.863909509,0.877471751,0.838458819,1.521674141,1.02813405,1.034904014,0.320085167,0.373189905,0.790897518,0.778726198,1.059818482,1.09204647,1.062887878,1.066317627,0.293736842,0.239368421,0.284631579
Non-draught cattle,0.617351894,0.621048975,0.823254607,0.799254526,0.925051035,0.872928177,0.328315598,0.923435226,0.862148191,0.919068413,0.886559449,1.673343044,1.044672402,1.032096289,0.368912219,0.418596956,0.819361536,0.821884984,1.026869537,1.042723168,1.049636003,1.0036777,0.326590909,0.281272727,0.313909091
Non-draught cattle,0.68004378,0.717594322,0.843120805,0.857142857,0.952606635,0.945895522,0.321868009,0.936626281,0.929706601,0.92917055,0.924205379,1.657534247,1.060262318,1.100036377,0.363665087,0.408011343,0.836409396,0.852071006,1.099963517,1.136346657,1.06876994,1.106584212,0.328387097,0.272396313,0.29483871
Non-draught cattle,0.649706458,0.673236515,0.744355426,0.758849558,0.817273091,0.824189027,0.260742899,0.841498559,0.801714063,0.840263483,0.760810284,1.489550679,0.948860995,1.028977871,0.286285486,0.332868433,0.743262928,0.720132743,1,1.067427386,0.950255695,1.084299262,0.25037037,0.214391534,0.23026455
Non-draught cattle,0.72513089,0.707223001,0.862939139,0.805259241,0.965669989,0.908734602,0.314695695,0.958505084,0.899916828,0.940368233,0.911838093,1.437480215,1.054220579,1.080131363,0.352159468,0.391866913,0.846610589,0.815926569,1.141361257,1.138148668,1.074553296,1.066009852,0.332192982,0.280087719,0.312850877
Non-draught cattle,0.625597646,0.79145026,0.835528159,0.875,0.947870312,0.949300156,0.358924068,0.935676184,0.911316811,0.943206778,0.860853986,1.593502707,1.077033321,1.140878512,0.407183725,0.458975278,0.842252732,0.826548165,1.096726738,1.219336796,1.068434253,1.207756233,0.31879397,0.279095477,0.321055276
Non-draught cattle,0.724777735,0.805395843,0.874130106,0.8300214,0.973382749,0.935239408,0.306807867,0.989044848,0.91444931,0.955494694,0.938363085,1.570998279,1.054401209,1.232198142,0.341644205,0.383075179,0.844478064,0.851727301,1.116737534,1.200796108,1.091424254,1.200796108,0.29784689,0.245885167,0.286937799
Non-draught cattle,0.659611381,0.67049241,0.857953011,0.837434338,0.967417783,0.917045111,0.344585471,0.95319532,0.899346793,0.96939694,0.92131829,1.466841514,1.080963533,1.15396058,0.388550548,0.426898628,0.872535782,0.857893282,1.102359473,1.121436505,1.06289729,1.126441056,0.312949309,0.272442396,0.303640553
Non-draught cattle,0.675561798,0.697656841,0.837773042,0.83484225,0.947574571,0.904040404,0.325253063,0.935176925,0.889505992,0.88700565,0.822566501,1.604262432,1.017741385,1.120669056,0.367881892,0.416581372,0.794619073,0.772016461,1.104283708,1.150037793,1.073012624,1.211867782,0.336995074,0.283103448,0.321231527
Non-draught cattle,0.688646118,0.573873122,0.810856658,0.789933081,0.912503977,0.867689358,0.311846197,0.901036758,0.868244324,0.935281181,0.888711225,1.559640872,1.147648419,1.148821827,0.350938594,0.425212028,0.841673735,0.808553971,1.119001171,1.133138564,1.105628373,1.122364613,0.295841584,0.286534653,0.307772277
Non-draught cattle,0.757425743,0.721000758,0.867852605,0.822321664,0.996207701,0.901587302,0.323506989,0.987850738,0.898217366,0.985536592,0.921219091,1.670651755,1.214616756,1.175348496,0.371353559,0.453832442,0.865819568,0.843379837,1.207567185,1.184230478,1.217468806,1.146001467,0.3592,0.31585,0.35865
Non-draught cattle,0.644251627,0.634744757,0.793381759,0.776473875,0.906547802,0.848031736,0.313962873,0.89689781,0.846997867,0.941605839,0.876257239,1.531454248,1.119305857,1.096491228,0.358745773,0.421908894,0.832929782,0.80329701,1.066160521,1.099722992,1.066160521,1.059877956,0.321421569,0.285539216,0.310490196
Non-draught cattle,0.721442246,0.681803116,0.848065651,0.793909348,0.958653591,0.873960499,0.317936694,0.947106572,0.873733437,0.931133805,0.895817095,1.472770592,1.092473118,1.188146106,0.359395706,0.416589862,0.833763189,0.813975449,1.154116146,1.11468346,1.111213518,1.158855961,0.352241379,0.285172414,0.321508621
Non-draught cattle,0.704246524,0.669603524,0.772464963,0.761491031,0.866255778,0.843003413,0.257488321,0.845413534,0.819113657,0.855639098,0.828459451,1.511466011,1.023013305,1.136946628,0.288751926,0.336929162,0.781808189,0.770179372,1.056369786,1.088105727,1.010787487,1.124120811,0.284930876,0.262304147,0.270875576
Non-draught cattle,0.677165354,0.67209934,0.804169966,0.774193548,0.938404681,0.842737095,0.30482977,0.907926103,0.836959762,0.911203814,0.84023845,1.446679317,1.05666897,1.086738628,0.355712966,0.399101589,0.807073106,0.777226358,1.090551181,1.089639115,1.052868003,1.082498072,0.318243902,0.269804878,0.307073171
Non-draught cattle,0.721680672,0.699736941,0.84201302,0.768728791,0.979609671,0.848947824,0.304456685,0.954855196,0.833333333,0.893810335,0.800509338,1.460756833,1.013196009,1.032105071,0.354209147,0.391374316,0.788182273,0.738449491,1.130420168,1.106726794,1.082394593,1.074425392,0.36920398,0.304228856,0.334427861
Non-draught cattle,0.641908007,0.683068578,0.866363149,0.840831435,0.964807635,0.908895045,0.361810391,0.923494148,0.869296438,0.883813874,0.863997645,1.571038251,1.050916497,1.100074963,0.402922756,0.458587916,0.829137654,0.83570615,1.102214651,1.144130182,1.098099117,1.106821589,0.357905759,0.310575916,0.347329843
Non-draught cattle,0.637251074,0.655744504,0.789125864,0.765657776,0.893841443,0.857958361,0.298888555,0.864429089,0.844907407,0.854886476,0.815806878,1.381953028,0.974128234,1.018159307,0.338550527,0.373078365,0.780414539,0.739286785,1.025771183,1.059726255,0.985001875,1.05447792,0.281682692,0.246971154,0.271057692
Non-draught cattle,0.646105041,0.674204676,0.817014446,0.805360043,0.958267964,0.912296841,0.326645265,0.950513539,0.877063679,0.95393713,0.873231132,1.663329161,1.065345846,1.096225019,0.383118921,0.424400417,0.819957196,0.801840823,1.076489249,1.140283634,1.061522419,1.101036269,0.34575,0.2896,0.3193
Non-draught cattle,0.704780115,0.654049654,0.85358879,0.808602771,0.979652117,0.925033025,0.326565628,0.985473754,0.92198815,0.948827996,0.889071758,1.6349065,1.076807793,1.140625,0.37479488,0.427875609,0.821847298,0.779734411,1.141491396,1.14000814,1.118396403,1.18285473,0.325873016,0.274973545,0.325873016
Non-draught cattle,0.689684329,0.704203743,0.840771231,0.814616756,0.95544067,0.888672825,0.310658579,0.944512047,0.869027811,0.874665369,0.844307107,1.606578523,0.975305292,1.081278539,0.353028065,0.389145183,0.778596187,0.79144385,1.093855693,1.121816508,1.053188602,1.112937595,0.38279661,0.297372881,0.337118644
Non-draught cattle,0.655866625,0.651025374,0.818361303,0.798069397,0.909739369,0.838311866,0.303800592,0.904034896,0.841772152,0.854961832,0.791964777,1.500953592,0.962849248,1.00348675,0.337722908,0.377955173,0.773938796,0.7508479,1.043095313,1.063260341,1.01811483,1.066596932,0.363472222,0.309768519,0.324166667
Non-draught cattle,0.745266781,0.676524279,0.839939024,0.796780153,0.975509,0.880431613,0.289888211,0.985101311,0.880945433,0.947854589,0.854391596,1.502832861,1.049488618,1.079248065,0.336677486,0.376443418,0.808180894,0.772763262,1.138037866,1.10222709,1.090729132,1.112790269,0.335592417,0.290379147,0.318909953
Non-draught cattle,0.743320611,0.676170363,0.889822372,0.83047477,0.986691509,0.901754386,0.328852616,0.951488706,0.874836345,0.929414784,0.859387274,1.575008243,1.094619105,1.093635455,0.364652648,0.414147521,0.869179069,0.815809098,1.179071247,1.175994368,1.120616687,1.113295568,0.401971154,0.328028846,0.365240385
Non-draught cattle,0.688940862,0.645254421,0.832211419,0.801573205,0.941873589,0.891869001,0.318125156,0.956721124,0.889358108,0.936658068,0.896959459,1.60683425,1.029291339,1.109331476,0.360045147,0.401889764,0.814759412,0.808424258,1.115268961,1.140021653,1.051338583,1.099930362,0.324618834,0.291345291,0.310224215
Non-draught cattle,0.624678663,0.631949883,0.784329564,0.773187415,0.906911582,0.886171214,0.326332795,0.903255814,0.842073897,0.87379845,0.838796186,1.459728868,0.965729952,1.060263653,0.377334994,0.415352981,0.758750673,0.770177839,1.069775982,1.106499608,0.998286498,1.06440678,0.311895735,0.26549763,0.294881517
Non-draught cattle,0.687173177,0.622429306,0.80484364,0.791969037,0.915730337,0.881292059,0.279567364,0.902214022,0.862032649,0.897469689,0.859399684,1.517560664,0.96159277,1.029003783,0.318084537,0.335780853,0.800611333,0.789550073,1.052906798,1.052056555,0.96667608,1.032156368,0.357963801,0.298461538,0.330995475
Non-draught cattle,0.709177592,0.729835212,0.833526346,0.835304823,0.944553806,0.912827312,0.316734221,0.939928175,0.903543307,0.912830558,0.863188976,1.42692466,1.069216061,1.098080134,0.358923885,0.418355641,0.809496236,0.79799818,1.14382201,1.194275802,1.100956023,1.149415693,0.304292929,0.256313131,0.299646465
Non-draught cattle,0.679794521,0.68481772,0.786130914,0.774313792,0.884433102,0.826102675,0.271548931,0.871721164,0.823423423,0.866690622,0.811531532,1.455951265,0.990147783,1.070851165,0.305504922,0.344006568,0.781594297,0.763131142,1.038527397,1.054453161,0.99589491,1.086543034,0.30198895,0.261823204,0.282375691
